기간	자치구	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적
기간	자치구	출동건수	출동건수	출동건수	출동건수	출동건수	출동건수	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원
기간	자치구	계	처리	처리	처리	처리	미처리(자체처리허위등)	사상별	사상별	사상별	사상별	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원
기간	자치구	계	계	인명구조	안전조치	기타활동	미처리(자체처리허위등)	계	사망	부상	기타	계	화재	교통사고	수난사고	기계사고	건물사고	승강기사고	산악사고	갇힘사고	폭발사고	기타
2018	합계	163,110	141,050	17,699	118,169	5,182	22,060	18,856	307	2,224	16,325	18,856	743	1,157	895	112	6	7,347	966	4,423	1	3,206
2018	종로구	6,111	5,364	439	4,721	204	747	514	5	96	413	514	26	28	-	4	-	181	77	84	-	114
2018	중구	5,226	4,705	466	4,107	132	521	688	7	65	616	688	38	24	-	11	-	351	2	147	-	115
2018	용산구	5,391	4,629	585	3,814	230	762	558	12	47	499	558	24	25	103	1	-	193	-	92	-	120
2018	성동구	4,804	4,319	516	3,567	236	485	604	12	98	494	604	12	56	29	7	-	253	-	151	-	96
2018	광진구	4,483	3,999	780	2,846	373	484	717	16	64	637	717	82	40	61	4	-	176	31	202	1	120
2018	동대문구	6,533	5,682	645	4,858	179	851	712	10	54	648	712	10	58	1	4	-	340	4	188	-	107
2018	중랑구	5,887	4,995	569	4,097	329	892	496	11	69	416	496	35	36	6	5	1	163	18	152	-	80
2018	성북구	6,118	5,210	399	4,688	123	908	413	6	60	347	413	6	34	1	3	-	162	27	118	-	62
2018	강북구	5,032	4,473	469	3,820	184	559	468	2	96	370	468	12	15	-	1	-	180	80	113	-	67
2018	도봉구	4,805	4,433	739	3,508	186	372	1,177	14	154	1,009	1,177	47	30	2	1	-	245	168	219	-	465
2018	노원구	6,916	6,237	765	5,374	98	679	1,054	15	110	929	1,054	40	82	11	3	-	464	93	235	-	126
2018	은평구	7,183	6,300	677	5,530	93	883	745	12	165	568	745	14	24	-	1	-	216	171	233	-	86
2018	서대문구	5,333	4,534	561	3,837	136	799	630	9	110	511	630	25	72	-	7	-	186	28	174	-	138
2018	마포구	7,200	6,452	935	5,352	165	748	820	11	60	749	820	12	48	142	2	-	297	-	184	-	135
2018	양천구	5,345	4,877	385	4,377	115	468	547	3	28	516	547	13	20	-	1	-	351	2	91	-	69
2018	강서구	8,469	7,679	889	6,705	85	790	845	24	100	721	845	25	72	19	3	-	364	3	243	-	116
2018	구로구	6,228	5,688	801	4,688	199	540	767	9	52	706	767	17	28	-	6	3	434	8	194	-	77
2018	금천구	4,065	3,585	440	3,045	100	480	409	2	64	343	409	33	23	-	11	-	180	24	100	-	38
2018	영등포구	8,735	8,049	1,568	6,246	235	686	1,654	43	201	1,410	1,654	72	102	364	8	-	511	-	292	-	305
2018	동작구	5,015	4,327	437	3,726	164	688	567	19	36	512	567	14	26	28	3	1	239	3	176	-	77
2018	관악구	7,792	6,568	902	5,469	197	1,224	988	10	142	836	988	40	43	1	5	1	313	188	272	-	125
2018	서초구	8,779	7,040	888	5,902	250	1,739	745	10	78	657	745	41	76	13	1	-	350	28	121	-	115
2018	강남구	12,065	9,069	1,154	7,659	256	2,996	1,035	11	85	939	1,035	42	53	28	6	-	467	4	268	-	167
2018	송파구	8,994	6,939	943	5,512	484	2,055	916	23	99	794	916	38	89	47	9	-	372	2	202	-	157
2018	강동구	6,595	5,893	746	4,719	428	702	786	11	91	684	786	25	53	39	5	-	359	5	171	-	129
2018	기타	6	4	1	2	1	2	1	-	-	1	1	-	-	-	-	-	-	-	1	-	-