기간	소방서	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적	119구급대활동실적
기간	소방서	출동건수	이송건수	이송인원	이송인원	이송인원	구급환자유형별	구급환자유형별	구급환자유형별	구급환자유형별	이송병원별	이송병원별	이송병원별	이송병원별	이송병원별	이송병원별	이송병원별	이송병원별	이송병원별	이송병원별
기간	소방서	출동건수	이송건수	계	남	여	계	급만성질환	교통사고	사고부상	계	병원	보건소	응급의료센터	의원	조산소	종합병원	치과병원	한의원	기타시설
2018	합계	559,519	350,640	353,574	181,367	172,207	353,574	235,576	30,373	87,625	353,574	24,731	5	3	2	2,435	326,040	30	124	204
2018	종로소방서	20,503	11,469	11,581	6,422	5,159	11,581	7,540	926	3,115	11,581	235	-	-	-	76	11,240	1	2	27
2018	중부소방서	18,752	10,758	10,831	5,796	5,035	10,831	6,879	954	2,998	10,831	224	-	-	-	41	10,543	-	1	22
2018	광진소방서	16,270	10,098	10,181	5,278	4,903	10,181	6,956	909	2,316	10,181	205	-	-	-	82	9,886	-	3	5
2018	용산소방서	16,899	9,675	9,773	5,183	4,590	9,773	6,339	970	2,464	9,773	146	-	1	-	34	9,584	-	5	3
2018	동대문소방서	23,001	14,372	14,492	7,965	6,527	14,492	9,813	1,441	3,238	14,492	611	-	-	-	77	13,782	1	3	18
2018	영등포소방서	26,676	15,494	15,670	8,546	7,124	15,670	9,586	1,614	4,470	15,670	622	-	-	-	79	14,954	1	8	6
2018	성북소방서	21,665	13,388	13,463	6,676	6,787	13,463	9,772	1,031	2,660	13,463	652	-	-	-	322	12,471	-	2	16
2018	은평소방서	22,749	14,660	14,756	7,217	7,539	14,756	10,791	966	2,999	14,756	2,558	-	-	-	107	12,078	3	6	4
2018	강남소방서	32,700	19,089	19,299	9,452	9,847	19,299	11,680	2,300	5,319	19,299	1,702	-	-	-	106	17,482	3	2	4
2018	서초소방서	26,109	15,602	15,806	7,737	8,069	15,806	9,827	1,593	4,386	15,806	1,106	1	1	-	117	14,566	1	6	8
2018	강서소방서	26,315	17,157	17,313	8,582	8,731	17,313	12,024	1,424	3,865	17,313	1,923	-	-	-	116	15,260	-	7	7
2018	강동소방서	20,970	13,880	13,990	7,267	6,723	13,990	9,344	1,319	3,327	13,990	728	-	-	-	90	13,163	-	3	6
2018	마포소방서	28,905	17,778	17,922	8,883	9,039	17,922	11,329	1,590	5,003	17,922	2,366	1	-	-	117	15,420	2	13	3
2018	도봉소방서	17,084	11,495	11,551	5,829	5,722	11,551	8,200	764	2,587	11,551	607	-	-	1	59	10,875	-	2	7
2018	구로소방서	38,186	25,280	25,501	13,362	12,139	25,501	16,977	2,128	6,396	25,501	779	1	-	-	142	24,567	1	2	9
2018	노원소방서	26,003	18,080	18,174	9,095	9,079	18,174	12,957	1,191	4,026	18,174	442	1	-	-	128	17,584	1	10	8
2018	관악소방서	25,510	16,396	16,490	8,487	8,003	16,490	10,896	1,191	4,403	16,490	423	-	-	-	110	15,948	2	5	2
2018	송파소방서	28,818	17,545	17,708	9,073	8,635	17,708	11,292	1,692	4,724	17,708	3,302	-	-	1	99	14,297	1	7	1
2018	양천소방서	23,130	14,951	15,102	7,499	7,603	15,102	10,039	1,421	3,642	15,102	2,364	-	-	-	99	12,623	-	11	5
2018	중랑소방서	22,907	15,829	15,943	8,478	7,465	15,943	11,071	1,187	3,685	15,943	631	-	1	-	62	15,228	-	1	20
2018	동작소방서	17,060	11,202	11,276	5,685	5,591	11,276	7,798	786	2,692	11,276	828	-	-	-	98	10,342	-	7	1
2018	서대문소방서	20,973	12,110	12,179	6,092	6,087	12,179	8,356	892	2,931	12,179	797	-	-	-	64	11,303	-	13	2
2018	강북소방서	21,500	13,709	13,791	7,066	6,725	13,791	9,231	873	3,687	13,791	1,208	1	-	-	136	12,429	-	4	13
2018	성동소방서	16,722	10,543	10,628	5,571	5,057	10,628	6,859	1,211	2,558	10,628	268	-	-	-	74	10,278	-	1	7
2018	소방항공대	112	80	154	126	28	154	20	-	134	154	4	-	-	-	-	137	13	-	-